Episode,Total Reward,Epsilon,Steps,Success,Exploration,Exploitation,Max Q-value
257,54,0.27714603575484437,23,1,5,18,62.148045140415185
258,60,0.2757603055760701,17,1,5,12,62.15540236889885
259,58,0.2743815040481898,19,1,6,13,62.15908098314068
260,59,0.2730095965279488,18,1,3,15,62.1609202902616
261,58,0.27164454854530906,19,1,3,16,62.16183994382206
262,58,0.2702863258025825,19,1,6,13,62.16229977060229
263,57,0.2689348941735696,20,1,3,17,62.1625296839924
264,55,0.26759021970270175,22,1,7,15,62.16264464068746
265,58,0.2662522686041882,19,1,5,14,62.16270211903499
266,57,0.2649210072611673,20,1,5,15,62.162730858208754
267,58,0.26359640222486147,19,1,7,12,62.16274522779564
268,54,0.26227842021373715,23,1,7,16,62.16275241258908
269,58,0.2609670281126685,19,1,5,14,62.162756004985795
270,59,0.25966219297210513,18,1,3,15,62.162757801184156
271,51,0.2583638820072446,26,1,8,18,62.16275869928334
272,60,0.2570720625972084,17,1,2,15,62.162759148332924
273,58,0.25578670228422234,19,1,4,15,62.16275937285772
274,61,0.25450776877280124,16,1,1,15,62.16275948512012
275,59,0.2532352299289372,18,1,4,14,62.16275954125132
276,42,0.2519690537792925,35,1,9,26,60.541131238287925
277,-174,0.2507092085103961,251,1,57,194,60.0
278,34,0.2494556624678441,43,1,9,34,60.0
279,16,0.24820838415550486,61,1,17,44,60.0
280,49,0.24696734223472733,28,1,4,24,60.25577329790934
281,54,0.2457325055235537,23,1,7,16,61.20926644764593
282,47,0.24450384299593592,30,1,6,24,61.686013022514224
283,51,0.24328132378095624,26,1,8,18,60.0
284,56,0.24206491716205145,21,1,5,16,60.0
285,56,0.2408545925762412,21,1,7,14,61.68039211149153
286,32,0.23965031961336,45,1,13,32,61.93020121549912
287,28,0.2384520680152932,49,1,9,40,60.0
288,-80,0.23725980767521673,157,1,39,118,60.0
289,39,0.23607350863684065,38,1,7,31,60.0
290,45,0.23489314109365644,32,1,10,22,60.0
291,54,0.23371867538818816,23,1,6,17,60.52516045030871
292,57,0.23255008201124722,20,1,5,15,61.37098346439364
293,53,0.231387331601191,24,1,7,17,61.784117007771144
294,55,0.23023039494318503,22,1,5,17,61.9906837794599
295,56,0.2290792429684691,21,1,7,14,62.08009961848971
296,61,0.22793384675362674,16,1,2,14,62.12311857297037
297,56,0.22679417751985861,21,1,4,17,62.14378356769357
298,54,0.22566020663225933,23,1,6,17,62.1536938237966
299,56,0.22453190559909803,21,1,6,15,62.15843783121884
300,61,0.22340924607110255,16,1,1,15,62.16070427461532
301,7,0.22229219984074702,70,1,17,53,60.52244561206912
302,-4,0.2211807388415433,81,1,14,67,60.0
303,36,0.22007483514733558,41,1,12,29,60.0
304,55,0.2189744609715989,22,1,6,16,60.26874901370317
305,45,0.2178795886667409,32,1,9,23,61.21575760430268
306,59,0.2167901907234072,18,1,3,15,61.68926025022252
307,50,0.21570623976979014,27,1,10,17,61.92601074849247
308,61,0.21462770857094118,16,1,1,15,62.04438558528247
309,-74,0.21355457002808648,151,1,27,124,60.0
310,28,0.21248679717794605,49,1,7,42,60.0
311,55,0.21142436319205632,22,1,3,19,60.0
312,45,0.21036724137609603,32,1,6,26,60.21924442127546
313,54,0.20931540516921554,23,1,4,19,61.191002015771886
314,54,0.20826882814336947,23,1,3,20,61.67688080979865
315,54,0.20722748400265262,23,1,7,16,61.919820205201304
316,61,0.20619134658263935,16,1,2,14,62.041289902097276
317,56,0.20516038984972615,21,1,4,17,62.102024750142576
318,59,0.2041345879004775,18,1,2,16,62.132392173963886
319,59,0.2031139149609751,18,1,4,14,62.147575885773875
320,57,0.20209834538617025,20,1,5,15,62.15516774162853
321,55,0.2010878536592394,22,1,9,13,62.15896366953069
322,61,0.2000824143909432,16,1,2,14,62.1608616334629
323,62,0.19908200231898848,15,1,2,13,62.16181061542585
324,59,0.19808659230739353,18,1,3,15,62.162285106405754
325,59,0.19709615934585656,18,1,3,15,62.16252235189492
326,57,0.19611067854912728,20,1,4,16,62.16264097463912
327,59,0.19513012515638165,18,1,3,15,62.16270028601102
328,60,0.19415447453059972,17,1,3,14,62.16272994169687
329,59,0.19318370215794672,18,1,2,16,62.16274476953974
330,57,0.192217783647157,20,1,4,16,62.16275218346115
331,56,0.1912566947289212,21,1,5,16,62.16275589042185
332,60,0.1903004112552766,17,1,5,12,62.16275774390219
333,59,0.18934890919900021,18,1,3,15,62.16275867064236
334,53,0.18840216465300522,24,1,8,16,62.16275913401244
335,60,0.18746015382974018,17,1,3,14,62.16275936569748
336,60,0.1865228530605915,17,1,2,15,62.16275948154
337,56,0.18559023879528855,21,1,4,17,62.16275953946126
338,57,0.1846622876013121,20,1,4,16,62.16275956842189
339,54,0.18373897616330553,23,1,7,16,62.162759582902204
340,58,0.182820281282489,19,1,4,15,62.16275959014236
341,56,0.18190617987607657,21,1,5,16,62.16275959376244
342,60,0.18099664897669618,17,1,2,15,62.16275959557248
343,61,0.1800916657318127,16,1,1,15,62.1627595964775
344,58,0.17919120740315364,19,1,4,15,62.16275959693001
345,58,0.17829525136613786,19,1,5,14,62.16275959715627
346,60,0.17740377510930716,17,1,2,15,62.16275959726939
347,60,0.17651675623376062,17,1,2,15,62.16275959732596
348,57,0.1756341724525918,20,1,3,17,62.16275959735424
349,62,0.17475600159032884,15,1,0,15,62.16275959736838
350,59,0.17388222158237718,18,1,3,15,62.16275959737545
351,56,0.1730128104744653,21,1,4,17,62.16275959737898
352,61,0.17214774642209296,16,1,1,15,62.16275959738075
353,61,0.1712870076899825,16,1,2,14,62.16275959738164
354,62,0.17043057265153258,15,1,0,15,62.16275959738208
355,54,0.16957841978827493,23,1,5,18,62.1627595973823
356,59,0.16873052768933355,18,1,3,15,62.162759597382404
357,60,0.1678868750508869,17,1,3,14,62.16275959738246
358,60,0.16704744067563246,17,1,4,13,62.16275959738249
359,-19,0.1662122034722543,96,1,21,75,60.0
360,-155,0.16538114245489302,232,1,35,197,60.0
361,18,0.16455423674261854,59,1,10,49,60.0
